Sort 1,Date,,Sheet 1,December Live List,Start Date,"December 1, 2025",,,
Sort 2,Main Project,,Sheet 2,October Live List,Start Date,"September 29, 2025",,,
Sort 3,Department,,Sheet 3,November Live List,Start Date,"November 3, 2025",,,
,,,,,,,,,
Week,Main Project,Task Description,Date,Department,Value,Hours,Day X,Total days,
Week 1,,,3/13/2022,Form Out,Rev Hrs:,,,,
Week 3,277 Greenley panels  mock up ,,10/16/2025,Mill,mill,,1,2,"mill parts for 1  full panel and 1 corner panel .  use mill to fabricate ""key"" rails using Azak parts for 1 sample try

Use CDX From Queens"
Week 3,277 Greenley panels  mock up ,,10/20/2025,Form Out,fo,,1,2,"form out 1 full panel and 1 corner panel
form out for 1 sample try"
Week 4,277 Greenley panels  mock up ,,10/21/2025,Cast,cast,,1,2,"cast 1 full panel and 1 corner panel
cast 1 sample try"
Week 4,277 Greenley panels  mock up ,,10/22/2025,Demold,dm,,1,2,"de mold 1 full panel and 1 corner panel
de mold 1 sample"
Week 4,277 Greenley panels  mock up ,,10/23/2025,Finish,wash,,1,1,wash 1 full panel and 1 corner panel
Week 4,277 Greenley panels  mock up ,,10/24/2025,Mill,mill,,2,2,mill plastic key forms
Week 4,277 Greenley panels  mock up ,,10/25/2025,Form Out,fo,,2,2,"Rebuild corner form
Rebuild Flat form"
Week 5,277 Greenley panels  mock up ,,10/28/2025,Cast,cast,0,2,2,"cast 1 full panel and 1 corner panel
use new form with plastic"
Week 5,277 Greenley panels  mock up ,,10/29/2025,Demold,dm,0,2,2,"de mold 1 full 1 corner 
remove plastic rails first. then remove concrete

Cut in half and Dry Fit"
Week 1,277 Greenley panels cast #1,59 panels   new build ( to be re used for cast #2),11/3/2025,Mill,mill,5,1,2,"Cut All Bases
Reuse Primark Bases 
Cut all parts for forms"
Week 1,277 Greenley panels cast #1,59 panels   new build ( to be re used for cast #2),11/4/2025,Mill,mill 2,10,2,2,"cut all required CDX 
use recovered wood from Herman."
Week 1,277 Greenley panels cast #1,59 panels   new build ( to be re used for cast #2),11/5/2025,Form Out,fo,15,1,1,"Form out 
59 Panels"
Week 1,277 Greenley panels cast #1,59 panels   new build ( to be re used for cast #2),11/6/2025,Cast,cast,15,1,1,"Cast 59 panels
Ensure Return Is spray at Top"
Week 1,277 Greenley panels cast #1,59 panels   new build ( to be re used for cast #2),11/7/2025,Demold,dm,7,1,1,"Demold
59 panels, do not grind black plastic. 
leave forms in cast area to be re built"
Week 1,277 Greenley panels cast #1,59 panels   new build ( to be re used for cast #2),11/10/2025,Crating,build,5,1,2,"Build Crate
59 Panels"
Week 2,277 Greenley panels cast #1,59 panels   new build ( to be re used for cast #2),11/11/2025,Finish,wash,5,1,2,"Wash
59 Panels"
Week 2,277 Greenley panels cast #1,59 panels   new build ( to be re used for cast #2),11/12/2025,Seal,seal,4,1,2,"Seal 
59 Panels"
Week 2,277 Greenley panels cast #1,59 panels   new build ( to be re used for cast #2),11/13/2025,Seal,tu 2,3,2,2,"Touch up 
59 Panels"
Week 2,277 Greenley panels cast #1,59 panels   new build ( to be re used for cast #2),11/14/2025,Crating,rack,3,2,2,rack 59 panels in coop #5
Week 3,277 Greenley panels cast #1,59 panels   new build ( to be re used for cast #2),11/21/2025,Finish,tint 3,3,2,2,"Rack 
59 Panels"
Week 3,277 Greenley panels cast #1,59 panels   new build ( to be re used for cast #2),11/21/2025,Special,dry,2,1,1,"Dry Fit 
59 Panels"
Week 4,277 Greenley panels cast #1,59 panels   new build ( to be re used for cast #2),11/25/2025,Load,load,4,1,1,"Load 
59 Panels"
Week 1,277 Greenley panels cast #2,59 panels re build ( use forms from cast #2),11/7/2025,Form Out,re build,10,1,1,"re build 59 panels 
forms are to be left on casting tables form de mold"
Week 1,277 Greenley panels cast #2,59 panels re build ( use forms from cast #2),11/10/2025,Cast,cast,20,1,1,cast 59 panels
Week 2,277 Greenley panels cast #2,59 panels re build ( use forms from cast #2),11/11/2025,Demold,dm,9,1,1,"de mold 59 panels 
remove plastic forms before grinding 
save forms to be re used by form out team.  do NOt remove from casting area"
Week 2,277 Greenley panels cast #2,59 panels re build ( use forms from cast #2),11/13/2025,Finish,wash,6,1,2,wash 59 panels
Week 2,277 Greenley panels cast #2,59 panels re build ( use forms from cast #2),11/17/2025,Crating,build,5,1,2,build crate for 59 panels
Week 2,277 Greenley panels cast #2,59 panels re build ( use forms from cast #2),11/17/2025,Seal,seal,5,1,2,seal 59 panels
Week 3,277 Greenley panels cast #2,59 panels re build ( use forms from cast #2),11/18/2025,Seal,tu 2,3,2,2,touch up 59 panels
Week 3,277 Greenley panels cast #2,59 panels re build ( use forms from cast #2),11/20/2025,Crating,rack,2,2,2,
Week 3,277 Greenley panels cast #2,59 panels re build ( use forms from cast #2),11/21/2025,Finish,tint 3,3,2,2,Rack 59 panels
Week 3,277 Greenley panels cast #2,59 panels re build ( use forms from cast #2),11/21/2025,Special,dry,2,1,1,dry fit key panels
Week 4,277 Greenley panels cast #2,59 panels re build ( use forms from cast #2),11/25/2025,Load,load,4,1,1,Load 59 panels
Week 2,277 Greenley panels cast #3,59 panels re build ( use forms from cast #2),11/12/2025,Form Out,rb,10,1,1,"re build 59 panels in cast area
Mill team to help"
Week 2,277 Greenley panels cast #3,59 panels re build ( use forms from cast #2),11/13/2025,Cast,cast,20,1,1,cast 59 panels
Week 2,277 Greenley panels cast #3,59 panels re build ( use forms from cast #2),11/14/2025,Demold,dm,9,1,1,"de mold 59 panels,  remove forms from cast area , stack on pallet , move under containers"
Week 2,277 Greenley panels cast #3,59 panels re build ( use forms from cast #2),11/17/2025,Crating,build,5,1,1,build crate for 59 panels
Week 2,277 Greenley panels cast #3,59 panels re build ( use forms from cast #2),11/17/2025,Finish,wash,6,1,2,wash 59 panels
Week 3,277 Greenley panels cast #3,59 panels re build ( use forms from cast #2),11/19/2025,Seal,seal,5,1,2,seal 59 panels
Week 3,277 Greenley panels cast #3,59 panels re build ( use forms from cast #2),11/20/2025,Seal,seal 2,5,2,2,touch up 59 panels
Week 3,277 Greenley panels cast #3,59 panels re build ( use forms from cast #2),11/21/2025,Finish,tint 3,3,2,2,tint 59 panels to match other castings
Week 3,277 Greenley panels cast #3,59 panels re build ( use forms from cast #2),11/21/2025,Special,dry,2,1,1,dry fit panels to be sure key fits
Week 4,277 Greenley panels cast #3,59 panels re build ( use forms from cast #2),11/25/2025,Load,load,4,1,1,Load 59 panels in crate
Week 2,277 Greenley panels cast #4,missing corners form cast #1 ,11/14/2025,Form Out,rb,0,1,1,Re build missing corners and panels
Week 2,277 Greenley panels cast #4,missing corners form cast #1 ,11/17/2025,Cast,cast,5,1,1,cast x corners   x  panels
Week 3,277 Greenley panels cast #4,missing corners form cast #1 ,11/18/2025,Demold,dm,2,1,1,
Week 3,277 Greenley panels cast #4,missing corners form cast #1 ,11/19/2025,Finish,wash,1,1,2,
Week 3,277 Greenley panels cast #4,missing corners form cast #1 ,11/21/2025,Seal,seal,1,1,2,
Week 3,277 Greenley panels cast #4,missing corners form cast #1 ,11/24/2025,Finish,tint 3,3,2,2,
Week 4,277 Greenley panels cast #4,missing corners form cast #1 ,11/26/2025,Seal,load,0,2,2,
Week 4,40 H Independence   ship ,,11/25/2025,Ship,ship ,1,1,1,
Week 3,550 Madison Bar ,16 panels ,10/14/2025,Mill,mill,25,1,1,"Cut and Formica Foam casing mold,  foam Plug #1 press Formica, plug #2 support panel wash , seal   
Cut form Parts
confirm if crate wants plug #1 ?
LABEL ALL FOAM / PARTS 
16 panels.."
Week 3,550 Madison Bar ,16 panels ,10/15/2025,Form Out,fo,20,1,1,"Form out
16 Panels glue Formica to foam , use foam plug to press Formica"
Week 4,550 Madison Bar ,16 panels ,10/22/2025,Cast,cast,37,1,1,"Cast 
16 Panels"
Week 4,550 Madison Bar ,16 panels ,10/23/2025,Demold,dm,12,1,1,"Demold 
16 Panels
put panels on foam plug #2 when racking curved panels"
Week 4,550 Madison Bar ,16 panels ,10/24/2025,Crating,build,7,1,1,"Build Crate
16 panels"
Week 4,550 Madison Bar ,16 panels ,10/24/2025,Finish,wash,12,1,2,"Wash Panels w/ Super Blue 
16 panels
use foam from mill to supports curve panels while wash, seal."
Week 4,550 Madison Bar ,16 panels ,10/27/2025,Seal,seal,10,1,2,"Seal 
16 panels"
Week 5,550 Madison Bar ,16 panels ,10/28/2025,Seal,tu 2,6,2,2,"Touch up
16 panels"
Week 5,550 Madison Bar ,16 panels ,10/30/2025,Finish,rack 2,5,2,2,"Rack
16 panels"
Week 5,550 Madison Bar ,16 panels ,10/30/2025,Load,load,7,1,1,Load 16 Panels
Week 3,550 Madison Bar    (shipping ) ,16 panels ,11/24/2025,Ship,ship ,1,1,1,
Week 1,585 Kendal stair   mock up  #1 ,1 tread ,10/6/2025,Mill,mill,2,1,1,"Mill all Parts, for
1 Treads"
Week 2,585 Kendal stair   mock up  #1 ,1 tread ,10/7/2025,Form Out,fo,2,1,1,"Form out.
1 Treads"
Week 2,585 Kendal stair   mock up  #1 ,1 tread ,10/10/2025,Cast,cast,3,1,1,"Cast .
1 Treads"
Week 2,585 Kendal stair   mock up  #1 ,1 tread ,10/11/2025,Demold,dm,2,1,1,"Demold
1 Treads..."
Week 2,585 Kendal stair   mock up  #1 ,1 tread ,10/13/2025,Finish,g&f,2,1,2,"Grind and Fill 
1 Treads."
Week 3,585 Kendal stair   mock up  #1 ,1 tread ,10/14/2025,Finish,gof 2,1,2,2,"Grind off fill .
1 Treads"
Week 3,585 Kendal stair   mock up  #1 ,1 tread ,10/16/2025,Seal,seal,1,1,2,"Seal
1 Treads"
Week 3,585 Kendal stair   mock up  #1 ,1 tread ,10/17/2025,Seal,seal 2,1,2,2,"Seal
1 Treads"
Week 2,585 Kendal stair cast #1 ,17 treads  new build ( to be re used for cast #2) ,10/11/2025,Mill,mill,25,1,3,Mill Bases and Rails for 23 Treads
Week 2,585 Kendal stair cast #1 ,17 treads  new build ( to be re used for cast #2) ,10/13/2025,Mill,mill 2,25,2,3,"23 Treads.
CNC Profile and Angles
Cut All Azek Strips.."
Week 3,585 Kendal stair cast #1 ,17 treads  new build ( to be re used for cast #2) ,10/14/2025,Form Out,fo,50,1,1,Form out 17Treads
Week 3,585 Kendal stair cast #1 ,17 treads  new build ( to be re used for cast #2) ,10/15/2025,Mill,mill 3,0,3,3,install 3rd azak strip in treads
